solver,num_matrices,success_rate,timeout_rate,avg_deviation,std_deviation,avg_time,percentile_90_time,best_cost
Greedy (best_insertion),3,1.0,0.0,0.0,0.0,0.7261189858118693,1.4032879114151,151398.0
Becker (non-opt),3,1.0,0.0,0.9833446084440564,1.4665138033146372,0.773419934908549,1.5227389097213746,150506.0
Becker (opt),3,1.0,0.0,1.3579747042396142,1.2067355292297308,0.0023118734359741213,0.0030012130737304688,150132.0
GreatDeluge,3,1.0,0.0,5.6466005656115374,2.1645083783676555,0.15625380039215087,0.19915454387664794,143214.0
LocalSearch best rest,3,1.0,0.0,7.453418601061453,2.0367344374835983,0.12217421007156372,0.16879581212997435,140384.30570823507
LocalSearch best,3,1.0,0.0,7.497612459687584,2.00366784437611,0.13639629046122234,0.18700032234191893,140131.00970500606
LocalSearch random,3,1.0,0.0,14.761571947315836,2.604579284699724,0.13645445187886557,0.18799972534179688,131855.97796351506
LocalSearch first,3,1.0,0.0,14.917089513275345,2.7391020148264644,0.13553862571716307,0.18799974918365478,132848.2313476709
Greedy (random),3,1.0,0.0,88.37604782382026,1.325214075035023,0.22588242848714193,0.47619755268096925,17906.0
Greedy (basic),3,1.0,0.0,88.567360390554,1.19398712914634,0.22135699907938639,0.4365689754486084,17434.0
