solver,best_cost,avg_deviation,std_deviation,success_rate,avg_time,std_time,percentile_90_time,matrix_count
Greedy (best_insertion),282169584,0.5750585872075888,0.6571829922233103,0.24,0.06491235637664795,0.049994046314373514,0.09671180248260498,50
GreatDeluge,283566182,0.8834644548920467,0.9945592934023394,0.152,0.0497905158996582,0.016688718129379033,0.07086560726165772,50
Becker (non-opt),273619503,7.863843408272234,4.996955776996568,0.0,0.009243516921997071,0.004549014627389602,0.01399822235107422,50
Becker (opt),254412126,13.008477069457761,6.152254721000817,0.0,0.00027196502685546874,0.0004339939201756939,0.001000666618347168,50
Greedy (look_ahead),154938312,37.69218037254825,6.815534992137999,0.0,0.5755555419921875,0.35476444704583004,0.8321762084960938,50
Greedy (random),122905430,58.16222855079118,9.555960380767749,0.0,0.002967959403991699,0.0015409079059045183,0.004001879692077636,50
Greedy (basic),119280218,61.34969662020284,8.264840466715057,0.0,0.002575410842895508,0.0013503467092788504,0.003999948501586914,50
