matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-r100b2,100,Becker (non-opt),0,137455.0,0.19953536987304688,Success,2.8428649179725327,141477
N-r100b2,100,Becker (non-opt),1,137455.0,0.1481492519378662,Success,2.8428649179725327,141477
N-r100b2,100,Becker (opt),0,136096.0,0.00099945068359375,Success,3.803445082946345,141477
N-r100b2,100,Becker (opt),1,136096.0,0.0020003318786621094,Success,3.803445082946345,141477
N-r100b2,100,Greedy (basic),0,37285.0,0.041001081466674805,Success,73.64589297200251,141477
N-r100b2,100,Greedy (basic),1,37285.0,0.04500102996826172,Success,73.64589297200251,141477
N-r100b2,100,Greedy (best_insertion),0,141477.0,0.15353608131408691,Success,0.0,141477
N-r100b2,100,Greedy (best_insertion),1,141477.0,0.14166998863220215,Success,0.0,141477
N-r100b2,100,Greedy (random),0,41359.0,0.048187255859375,Success,70.76627296309648,141477
N-r100b2,100,Greedy (random),1,41718.0,0.03799867630004883,Success,70.51252146992091,141477
N-r100b2,100,GreatDeluge,0,137105.0,0.09003376960754395,Success,3.0902549531019177,141477
N-r100b2,100,GreatDeluge,1,134527.0,0.09055256843566895,Success,4.912459268997788,141477
N-r100b2,100,LocalSearch best,0,132433.81476234578,0.0970005989074707,Success,6.391982610356611,141477
N-r100b2,100,LocalSearch best,1,131035.67808275484,0.09299898147583008,Success,7.380225702584283,141477
N-r100b2,100,LocalSearch best rest,0,131992.60130002775,0.08370079994201661,Success,6.703844935906369,141477
N-r100b2,100,LocalSearch best rest,1,131727.4761940019,0.08459944725036621,Success,6.891242962458979,141477
N-r100b2,100,LocalSearch random,0,122267.99789313941,0.09400010108947754,Success,13.577473445761914,141477
N-r100b2,100,LocalSearch random,1,119267.22224265883,0.09400320053100586,Success,15.698507713155617,141477
N-r100b2,100,LocalSearch first,0,124083.01983844605,0.09299945831298828,Success,12.294563894876163,141477
N-r100b2,100,LocalSearch first,1,126702.92930795166,0.09201288223266602,Success,10.44273676431387,141477
