matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-p40-16,40,Becker (non-opt),0,33645,0.013167381286621094,Success,4.941515511103576,35394
N-p40-16,40,Becker (non-opt),1,33645,0.010996341705322266,Success,4.941515511103576,35394
N-p40-16,40,Becker (opt),0,31839,0.0010008811950683594,Success,10.044075266994405,35394
N-p40-16,40,Becker (opt),1,31839,0.001001119613647461,Success,10.044075266994405,35394
N-p40-16,40,Greedy (basic),0,22827,0.002997875213623047,Success,35.506017969147315,35394
N-p40-16,40,Greedy (basic),1,22827,0.003002166748046875,Success,35.506017969147315,35394
N-p40-16,40,Greedy (best_insertion),0,35394,0.052553415298461914,Success,0.0,35394
N-p40-16,40,Greedy (best_insertion),1,35394,0.058548927307128906,Success,0.0,35394
N-p40-16,40,Greedy (random),0,24568,0.0029997825622558594,Success,30.587105159066507,35394
N-p40-16,40,Greedy (random),1,24249,0.003000020980834961,Success,31.488387862349548,35394
N-p40-16,40,GreatDeluge,0,34696,0.05299997329711914,Success,1.9720856642368765,35394
N-p40-16,40,GreatDeluge,1,34663,0.042999982833862305,Success,2.065321805955812,35394
