matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-p40-03,40,Becker (non-opt),0,26094.0,0.00999903678894043,Success,4.04853833425262,27195
N-p40-03,40,Becker (non-opt),1,26094.0,0.009003877639770508,Success,4.04853833425262,27195
N-p40-03,40,Becker (opt),0,23873.0,0.0009963512420654297,Success,12.215480786909358,27195
N-p40-03,40,Becker (opt),1,23873.0,0.0010006427764892578,Success,12.215480786909358,27195
N-p40-03,40,Greedy (basic),0,16785.0,0.00299835205078125,Success,38.27909542195256,27195
N-p40-03,40,Greedy (basic),1,16785.0,0.0029981136322021484,Success,38.27909542195256,27195
N-p40-03,40,Greedy (best_insertion),0,27141.0,0.016998291015625,Success,0.1985659128516271,27195
N-p40-03,40,Greedy (best_insertion),1,27141.0,0.013999223709106445,Success,0.1985659128516271,27195
N-p40-03,40,Greedy (random),0,17153.0,0.004000186920166016,Success,36.925905497334064,27195
N-p40-03,40,Greedy (random),1,17345.0,0.0030014514923095703,Success,36.219893362750504,27195
N-p40-03,40,GreatDeluge,0,26783.0,0.0429990291595459,Success,1.5149843721272294,27195
N-p40-03,40,GreatDeluge,1,26343.0,0.0449984073638916,Success,3.1329288472145618,27195
N-p40-03,40,LocalSearch best,0,25854.0943514636,0.1529996395111084,Success,4.930706558324698,27195
N-p40-03,40,LocalSearch best,1,25814.223823136017,0.1790010929107666,Success,5.077316333384751,27195
N-p40-03,40,LocalSearch best rest,0,25879.670122030515,0.1450718879699707,Success,4.8366607022227806,27195
N-p40-03,40,LocalSearch best rest,1,25695.49117390105,0.12969768047332764,Success,5.513913683026109,27195
N-p40-03,40,LocalSearch random,0,23347.985595649818,0.5070004463195801,Success,14.14603568431764,27195
N-p40-03,40,LocalSearch random,1,23740.045879051642,0.552997350692749,Success,12.704372571974105,27195
N-p40-03,40,LocalSearch first,0,23255.71283196171,0.05899858474731445,Success,14.485336157522665,27195
N-p40-03,40,LocalSearch first,1,24117.627767454913,0.04000210762023926,Success,11.315948639621574,27195
