matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-tiw56r67_150,150,Becker (non-opt),0,1907935.0,0.42612171173095703,Success,3.347688142819294,1974019
N-tiw56r67_150,150,Becker (non-opt),1,1907935.0,0.4273099899291992,Success,3.347688142819294,1974019
N-tiw56r67_150,150,Becker (opt),0,1730653.0,0.002001047134399414,Success,12.328452765652205,1974019
N-tiw56r67_150,150,Becker (opt),1,1730653.0,0.0019996166229248047,Success,12.328452765652205,1974019
N-tiw56r67_150,150,Greedy (basic),0,1317848.0,0.11753344535827637,Success,33.240358882057365,1974019
N-tiw56r67_150,150,Greedy (basic),1,1317848.0,0.12599873542785645,Success,33.240358882057365,1974019
N-tiw56r67_150,150,Greedy (best_insertion),0,1974019.0,0.4316673278808594,Success,0.0,1974019
N-tiw56r67_150,150,Greedy (best_insertion),1,1974019.0,0.42421722412109375,Success,0.0,1974019
N-tiw56r67_150,150,Greedy (random),0,1310242.0,0.12399959564208984,Success,33.625664190668886,1974019
N-tiw56r67_150,150,Greedy (random),1,1303217.0,0.12399959564208984,Success,33.98153715845694,1974019
N-tiw56r67_150,150,GreatDeluge,0,1907228.0,0.11300158500671387,Success,3.3835034009297784,1974019
N-tiw56r67_150,150,GreatDeluge,1,1916147.0,0.1139979362487793,Success,2.9316840415416467,1974019
N-tiw56r67_150,150,LocalSearch best,0,1871674.9577939815,0.12621045112609863,Success,5.184552033492,1974019
N-tiw56r67_150,150,LocalSearch best,1,1877409.0026111586,0.12499713897705078,Success,4.894076368507159,1974019
N-tiw56r67_150,150,LocalSearch best rest,0,1880557.8960414699,0.1254288911819458,Success,4.73455949302059,1974019
N-tiw56r67_150,150,LocalSearch best rest,1,1862963.8151055828,0.11448376178741455,Success,5.625841741868602,1974019
N-tiw56r67_150,150,LocalSearch random,0,1682543.0675174135,0.1380453109741211,Success,14.765609271369042,1974019
N-tiw56r67_150,150,LocalSearch random,1,1758997.1637903163,0.12665128707885742,Success,10.892592027213704,1974019
N-tiw56r67_150,150,LocalSearch first,0,1732161.8381715328,0.12599992752075195,Success,12.252017930347538,1974019
N-tiw56r67_150,150,LocalSearch first,1,1646258.9286921532,0.12558650970458984,Success,16.603693850355384,1974019
